employee_id,department,region,length_of_service,kpi_risk_score
8320,Sales & Marketing,region_2,16,0.8331861147599955
53217,Sales & Marketing,region_2,14,0.8225248106119019
71296,Sales & Marketing,region_2,19,0.8221028860793858
4821,Sales & Marketing,region_2,20,0.8174752564015779
52834,Sales & Marketing,region_2,17,0.815438420951487
8996,Sales & Marketing,region_6,19,0.8120518411725266
43525,Sales & Marketing,region_16,20,0.8111865917049172
62583,Sales & Marketing,region_6,10,0.8092504937573061
3859,Sales & Marketing,region_25,13,0.8090966760157753
24625,Sales & Marketing,region_22,17,0.8057988902422982
53464,Sales & Marketing,region_16,17,0.8034609549992336
66355,Sales & Marketing,region_2,19,0.8033860879979932
24576,Sales & Marketing,region_16,17,0.801612251034238
74970,Sales & Marketing,region_2,14,0.8015184000464394
35244,Sales & Marketing,region_26,21,0.8008252549242374
42856,Sales & Marketing,region_7,16,0.8007910996579342
2382,Sales & Marketing,region_27,14,0.8004105061992776
77152,Sales & Marketing,region_7,14,0.8002196273634561
59971,Sales & Marketing,region_16,17,0.800055191012457
52441,Sales & Marketing,region_16,17,0.800028657828172
66566,Sales & Marketing,region_2,16,0.7989613475209869
65237,Sales & Marketing,region_2,14,0.7987688884546997
27140,Sales & Marketing,region_2,19,0.7987372080985874
44419,Sales & Marketing,region_23,8,0.7979653146479467
22356,Sales & Marketing,region_22,8,0.7976630757251291
33973,Sales & Marketing,region_16,17,0.7973852371339588
62016,Sales & Marketing,region_19,13,0.7973608926715642
33744,Sales & Marketing,region_15,14,0.7972101907354054
18223,Sales & Marketing,region_19,17,0.7970785512895402
70422,Sales & Marketing,region_2,15,0.7968400551276333
51340,Sales & Marketing,region_15,8,0.7963929486895921
41407,Sales & Marketing,region_26,17,0.7963737619777776
6234,Sales & Marketing,region_6,15,0.7950954138347807
53711,Sales & Marketing,region_2,23,0.7949071247024119
62745,Sales & Marketing,region_2,25,0.7943749084129695
40736,Sales & Marketing,region_2,14,0.7942258306998012
34313,Sales & Marketing,region_2,17,0.7937173525054388
24395,Sales & Marketing,region_13,18,0.7935266484715714
54188,Sales & Marketing,region_6,15,0.7935139545314387
13860,Sales & Marketing,region_30,12,0.7932939859827731
29280,Sales & Marketing,region_13,19,0.7932269008393376
15080,Sales & Marketing,region_21,17,0.792659278715458
75590,Sales & Marketing,region_2,19,0.7926518623637768
49143,Sales & Marketing,region_15,13,0.7925939080380908
17351,Sales & Marketing,region_15,16,0.7925714355783883
12788,Sales & Marketing,region_30,10,0.7925481130320481
31390,Sales & Marketing,region_2,14,0.7907775120436641
70898,Sales & Marketing,region_2,19,0.7906921559597802
77437,Sales & Marketing,region_22,15,0.790662807517484
76591,Sales & Marketing,region_13,14,0.790322965694225
38288,Sales & Marketing,region_2,15,0.7903024153912724
67340,Sales & Marketing,region_1,16,0.7900245903948978
75543,Sales & Marketing,region_13,18,0.7897784870077177
67301,Sales & Marketing,region_23,13,0.7897445829033356
72033,Sales & Marketing,region_26,16,0.7888934855727943
59357,Sales & Marketing,region_27,15,0.7887322431130825
15938,Sales & Marketing,region_21,15,0.7886789626237632
75826,Sales & Marketing,region_7,10,0.7886566372057188
56919,Sales & Marketing,region_7,10,0.7886003866175368
41645,Sales & Marketing,region_2,21,0.7884651731498077
21094,Sales & Marketing,region_2,23,0.7883293077983822
63166,Sales & Marketing,region_14,13,0.7880508624623342
46376,Sales & Marketing,region_29,12,0.7877960896077053
59515,Sales & Marketing,region_31,11,0.7877624920798256
8354,Sales & Marketing,region_2,10,0.7877172786212742
35246,Sales & Marketing,region_2,17,0.7875567269541776
22351,Sales & Marketing,region_2,24,0.7875501481288741
69150,Sales & Marketing,region_2,13,0.7873332049901449
72463,Sales & Marketing,region_22,14,0.786814722584272
67748,Sales & Marketing,region_2,15,0.7866259007362609
14359,Sales & Marketing,region_16,16,0.786608195720343
11280,Sales & Marketing,region_7,15,0.7864750227734348
19489,Sales & Marketing,region_26,8,0.785701872614073
25658,Sales & Marketing,region_2,13,0.7856651228054081
46057,Sales & Marketing,region_13,23,0.785530379720667
12299,Sales & Marketing,region_14,19,0.7854898836506617
63498,Sales & Marketing,region_7,16,0.7854520750083739
46887,Sales & Marketing,region_13,15,0.7850677065737741
16773,Sales & Marketing,region_23,10,0.7848083461775458
72306,Sales & Marketing,region_7,19,0.7847841583691614
18147,Sales & Marketing,region_22,13,0.7847097454488476
3280,Sales & Marketing,region_13,16,0.7845138566701749
56155,Sales & Marketing,region_5,14,0.7841758977068971
28590,Sales & Marketing,region_7,20,0.7837771128296137
14660,Sales & Marketing,region_2,15,0.7830576449284062
41700,Sales & Marketing,region_5,11,0.7828207234696895
57047,Sales & Marketing,region_15,19,0.7827835113058272
37091,Sales & Marketing,region_7,14,0.7825584159022207
4697,Sales & Marketing,region_31,13,0.7823984595764554
49951,Sales & Marketing,region_2,25,0.7821641554336421
23107,Sales & Marketing,region_5,8,0.7820168430439016
25809,Sales & Marketing,region_22,13,0.7816740255696318
65736,Sales & Marketing,region_16,9,0.7816490670490457
36208,Sales & Marketing,region_23,18,0.7815151284817523
74333,Sales & Marketing,region_7,23,0.7814973730518608
30074,Sales & Marketing,region_2,22,0.7810292603248512
17319,Sales & Marketing,region_16,11,0.7809850807022237
12050,Sales & Marketing,region_16,24,0.7809580365526685
26048,Sales & Marketing,region_30,8,0.7806478436637926
25278,Sales & Marketing,region_2,17,0.7800956070580964
42850,Sales & Marketing,region_2,16,0.7800827863964431
16019,Sales & Marketing,region_22,10,0.7799927439304228
33736,Sales & Marketing,region_2,17,0.7797627117878874
5842,Sales & Marketing,region_21,14,0.779505215768004
20450,Sales & Marketing,region_17,15,0.7792210662826814
8918,Sales & Marketing,region_26,14,0.7791908373216161
63005,Sales & Marketing,region_2,15,0.7790605096645798
21366,Sales & Marketing,region_31,14,0.778880565591718
34518,Sales & Marketing,region_13,19,0.7787469760929082
28665,Sales & Marketing,region_13,22,0.7785796875663866
62848,Sales & Marketing,region_7,27,0.77841661889562
69016,Sales & Marketing,region_15,16,0.7784101962289883
15536,Sales & Marketing,region_2,9,0.7783418182697184
43807,Sales & Marketing,region_2,18,0.7782804159566087
73245,Sales & Marketing,region_6,29,0.7781095901333172
73468,Sales & Marketing,region_31,9,0.7780665144559216
20537,Sales & Marketing,region_27,12,0.7780133419803669
